,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,HKTN,HKXH,A00,B00,C00,D01,A01
60,7.60,7.75,5.75,6.50,6,,,,9.60,N1,02,18.30,,19.90,20.10,,25.00,23.00
61,6.20,8,,,,9,9,8.75,9,N1,02,,26.80,,,26.00,23.20,
62,6.80,6.25,,,,4.75,6.75,6.75,9.40,N1,02,,18.30,,,17.80,22.50,
63,7.20,7,,,,7.75,7.25,6.75,9.60,N1,02,,21.80,,,22.00,23.80,
64,9,7.50,6.25,6.50,5.75,,,,8.80,N1,02,18.50,,21.80,21.30,,25.30,24.10
65,7.20,7,7.75,6.75,4.25,,,,9.60,N1,02,18.80,,21.70,18.20,,23.80,24.50
66,8.40,6.75,,,,5.25,6.50,8.75,9,N1,02,,20.50,,,18.50,24.20,
67,8,6.50,6.75,8.25,6.75,,,,9,N1,02,21.80,,23.00,23.00,,23.50,23.80
68,8.80,8,7.75,7.75,5.75,,,,9,N1,02,21.30,,24.30,22.30,,25.80,25.60
69,6.80,7,,,,6.25,7.50,8.50,9.60,N1,02,,22.30,,,20.80,23.40,
70,5.40,4.50,,,,5,6.75,9.75,8.40,N1,02,,21.50,,,16.30,18.30,
71,8.40,7.25,7,8.75,7.75,,,,7.80,N1,02,23.50,,24.20,24.90,,23.50,23.20
72,8.40,7.25,8,8,6.50,,,,,,02,22.50,,24.40,22.90,,,
73,8.40,7,8.25,7.50,6.75,,,,6.20,N1,02,22.50,,24.20,22.70,,21.60,22.80
74,9,4.50,8,3.75,4.50,,,,9.20,N1,02,16.30,,20.80,17.30,,22.70,26.20
75,7.20,5.25,7.50,7,6.25,,,,9.20,N1,02,20.80,,21.70,20.50,,21.70,23.90
76,8.20,8.25,,,,8.50,7.50,9.50,10,N1,02,,25.50,,,24.30,26.50,
77,7,6.50,,,,6,7.50,9.50,9,N1,02,,23.00,,,20.00,22.50,
78,8.40,6.75,7,3,6,,,,7.60,N1,02,16.00,,18.40,17.40,,22.80,23.00
79,8.40,6,4,4,5.50,,,,9,N1,02,13.50,,16.40,17.90,,23.40,21.40
80,8.20,5,8.50,5,4.25,,,,9,N1,02,17.80,,21.70,17.50,,22.20,25.70
81,7.60,6.75,6.75,7,4,,,,8.80,N1,02,17.80,,21.40,18.60,,23.20,23.20
82,8.20,6.50,6,4.75,4.75,,,,10,N1,02,15.50,,19.00,17.70,,24.70,24.20
83,7.60,6.75,5.50,7.25,7,,,,8.60,N1,02,19.80,,20.40,21.90,,23.00,21.70
84,7.80,8.25,,,,6,5.50,8.75,9,N1,02,,20.30,,,19.80,25.10,
85,7.80,8,5.75,6.75,5.25,,,,9.20,N1,02,17.80,,20.30,19.80,,25.00,22.80
86,8.60,7,8.25,8,5.50,,,,7.40,N1,02,21.80,,24.90,22.10,,23.00,24.30
87,8,5.75,8.75,8.25,5.50,,,,9.20,N1,02,22.50,,25.00,21.80,,23.00,26.00
88,8.80,6.75,8.75,7.75,3.25,,,,9,N1,02,19.80,,25.30,19.80,,24.60,26.60
89,7.60,7.50,7.50,5.50,5.50,,,,9,N1,02,18.50,,20.60,18.60,,24.10,24.10
90,8,6.75,5.50,6.25,7.25,,,,8.80,N1,02,19.00,,19.80,21.50,,23.60,22.30
91,8,6.33,6.75,7,6.25,,,,9.40,N1,02,20.00,,21.80,21.30,,23.70,24.20
92,7.80,5.75,7.75,6.75,5.50,,,,,,02,20.00,,22.30,20.10,,,
93,8.40,6.50,3.75,8.25,3.25,,,,9.20,N1,02,15.30,,20.40,19.90,,24.10,21.40
94,7.40,6.75,,,,5.50,6,8,8,N1,02,,19.50,,,18.30,22.20,
95,8.20,7.75,,,,6.50,7.75,8,8.40,N1,02,,22.30,,,22.00,24.40,
96,8.60,7.75,6,8.50,9.75,,,,8.80,N1,02,24.30,,23.10,26.90,,25.20,23.40
97,8.40,7,,,,5.25,6.75,7.50,8,N1,02,,19.50,,,19.00,23.40,
98,8.40,8,7.75,7.75,4,,,,8,N1,02,19.50,,23.90,20.20,,24.40,24.20
99,8.20,5.75,8.25,7.75,4.50,,,,6.40,N1,02,20.50,,24.20,20.50,,20.40,22.90
100,8.60,7,7.50,8.25,5,,,,7.60,N1,02,20.80,,24.40,21.90,,23.20,23.70
101,7.40,4,5.25,3.75,5,,,,9.80,N1,02,14.00,,16.40,16.20,,21.20,22.50
102,7.80,7.25,5.25,6.50,4.25,,,,9.20,N1,02,16.00,,19.60,18.60,,24.30,22.30
103,5.60,6.50,,,,5.25,7.50,8.50,6.60,N1,02,,21.30,,,19.30,18.70,
104,8.80,7,8.25,6.25,6,,,,9.60,N1,02,20.50,,23.30,21.10,,25.40,26.70
105,8.40,7.25,,,,5.75,6.75,7.50,9.40,N1,02,,20.00,,,19.80,25.10,
106,8.40,6.75,6.50,7.50,5.75,,,,9.40,N1,02,19.80,,22.40,21.70,,24.60,24.30
107,8,7.75,6.75,7.25,4.50,,,,9.20,N1,02,18.50,,22.00,19.80,,25.00,24.00
108,8.40,7.50,7.50,5.25,4.50,,,,8.40,N1,02,17.30,,21.20,18.20,,24.30,24.30
109,8,7.75,,,,6,7.75,9.25,9.60,N1,02,,23.00,,,21.50,25.40,
110,7.40,7.25,,,,7.75,7.75,9.50,9.40,N1,02,,25.00,,,22.80,24.10,
111,7.60,7.75,,,,6.75,7.75,7.25,8.60,N1,02,,21.80,,,22.30,24.00,
112,7.60,6.50,,,,5.75,6,7,9.20,N1,02,,18.80,,,18.30,23.30,
113,7.20,7,6.25,6.50,5.50,,,,9.20,N1,02,18.30,,20.00,19.20,,23.40,22.70
114,6,5.75,5,5,3.75,,,,8.20,N1,02,13.80,,16.00,14.80,,20.00,19.20
115,8,6.50,,,,4.25,6.50,8,8.40,N1,02,,18.80,,,17.30,22.90,
116,6.80,6,,,,5.50,7.25,8.50,9.20,N1,02,,21.30,,,18.80,22.00,
117,8,8,5.25,4.75,4.75,,,,8.80,N1,02,14.80,,18.00,17.50,,24.80,22.10
118,6.80,7.75,5,5.25,4.75,,,,,,02,15.00,,17.10,16.80,,,
119,7.20,7.25,,,,5.75,6.75,8.25,9,N1,02,,20.80,,,19.80,23.50,
120,8,7.75,,,,6.50,6.75,9.75,8.60,N1,02,,23.00,,,21.00,24.40,
121,8.20,7.25,6.75,7.50,6.50,,,,8.80,N1,02,20.80,,22.50,22.20,,24.30,23.80
122,8.60,8.25,7.75,8,7.25,,,,8.80,N1,02,23.00,,24.40,23.90,,25.70,25.20
123,9,5.25,8.25,8,5,,,,7.40,N1,02,21.30,,25.30,22.00,,21.70,24.70
124,7.40,7.75,7,7.75,7.50,,,,9,N1,02,22.30,,22.20,22.70,,24.20,23.40
125,8.80,7,6.50,7.75,5.50,,,,7.80,N1,02,19.80,,23.10,22.10,,23.60,23.10
126,8.60,7.50,8.25,8,8.25,,,,9.40,N1,02,24.50,,24.90,24.90,,25.50,26.30
127,8.40,6.50,7.50,7,3.50,,,,7.60,N1,02,18.00,,22.90,18.90,,22.50,23.50
128,8.60,5.25,7.50,8,5.75,,,,8.80,N1,02,21.30,,24.10,22.40,,22.70,24.90
129,6.80,6.25,6,7.25,5.25,,,,8,N1,02,18.50,,20.10,19.30,,21.10,20.80
130,7.80,6,6.25,7.25,6,,,,8,N1,02,19.50,,21.30,21.10,,21.80,22.10
131,8.80,5.75,8.25,6.25,4.25,,,,10,N1,02,18.80,,23.30,19.30,,24.60,27.10
132,8.20,7.25,8.50,7.25,5.75,,,,9.60,N1,02,21.50,,24.00,21.20,,25.00,26.30
133,9.20,6.25,8.25,5,5.25,,,,8.80,N1,02,18.50,,22.50,19.50,,24.30,26.30
134,8,8,7.75,5.75,4.75,,,,9.20,N1,02,18.30,,21.50,18.50,,25.20,25.00
135,6.60,6.50,,,,6.50,6.75,9,9.20,N1,02,,22.30,,,19.80,22.30,
136,7.60,7.75,,,,5,7.25,8,8.60,N6,02,,20.30,,,20.00,24.00,
137,7.80,7,,,,4,6.50,6.50,8.60,N1,02,,17.00,,,17.50,23.40,
138,7,5.75,5.50,6,5.50,,,,7.80,N1,02,17.00,,18.50,18.50,,20.60,20.30
139,8.40,7,4.50,7.75,4,,,,8.80,N1,02,16.30,,20.70,20.20,,24.20,21.70
140,8.20,7,,,,6.50,8,8.50,9.80,N1,02,,23.00,,,21.50,25.00,
141,7.80,6.50,7.75,6,5.25,,,,9.60,N1,02,19.00,,21.60,19.10,,23.90,25.20
142,7.80,5,5,5,5.75,,,,9.20,N1,02,15.80,,17.80,18.60,,22.00,22.00
143,7.40,7.25,6.50,8,6.50,,,,,,02,21.00,,21.90,21.90,,,
144,8.40,3.75,5.75,7,4.50,,,,9.80,N1,02,17.30,,21.20,19.90,,22.00,24.00
145,8.40,6.50,6.75,6,5.25,,,,9.80,N1,02,18.00,,21.20,19.70,,24.70,25.00
146,8.60,6.50,6.75,5.25,4.50,,,,9.60,N1,02,16.50,,20.60,18.40,,24.70,25.00
147,9,6.50,7.25,6.25,5.50,,,,9,N1,02,19.00,,22.50,20.80,,24.50,25.30
148,6.20,6.25,5.25,5.75,5.25,,,,8.80,N1,02,16.30,,17.20,17.20,,21.30,20.30
149,8,4.50,6.25,7,4.50,,,,7.60,N1,02,17.80,,21.30,19.50,,20.10,21.90
150,8.60,5.75,7.50,8,8.75,,,,8.80,N1,02,24.30,,24.10,25.40,,23.20,24.90
151,8.80,6.50,8.25,7,6,,,,9.40,N1,02,21.30,,24.10,21.80,,24.70,26.50
152,7.80,6.75,8.50,7.75,5.50,,,,7.20,N1,02,21.80,,24.10,21.10,,21.80,23.50
153,8,5.50,8,5.75,5,,,,8,N1,02,18.80,,21.80,18.80,,21.50,24.00
154,7.80,6.50,,,,6,7.25,8.75,8.60,N1,02,,22.00,,,19.80,22.90,
155,7.20,6.25,6.50,8,5.50,,,,8.60,N1,02,20.00,,21.70,20.70,,22.00,22.30
156,8.20,5.75,,,,6.75,7.75,9.25,10,N1,02,,23.80,,,20.30,24.00,
157,7.40,6.75,5.25,5.75,4,,,,8.80,N1,02,15.00,,18.40,17.20,,23.00,21.50
