,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,HKTN,HKXH,A00,B00,C00,D01,A01
267,6.40,5.25,7,6.50,4.75,,,,9.40,N1,02,18.30,,19.90,17.70,,21.10,22.80
268,8.60,6.75,8.75,8,7,,,,7.60,N1,02,23.80,,25.40,23.60,,23.00,25.00
269,7.40,7.25,6.75,5,3.50,,,,9.40,N1,02,15.30,,19.20,15.90,,24.10,23.60
270,8.20,6.25,5.50,5.25,5.75,,,,9.60,N1,02,16.50,,19.00,19.20,,24.00,23.30
271,8.80,6.25,6.75,4.25,5.25,,,,8.80,N1,02,16.30,,19.80,18.30,,23.90,24.40
272,8.40,7.25,,,,7.25,7.25,9,9.60,N1,02,,23.50,,,21.80,25.30,
273,6.60,7.25,7.50,7.50,5.50,,,,,,02,20.50,,21.60,19.60,,,
274,7.80,7.50,7.50,6.50,5.75,,,,9.40,N1,02,19.80,,21.80,20.10,,24.70,24.70
275,8.40,5.25,7.75,5.25,5.50,,,,9.40,N1,02,18.50,,21.40,19.20,,23.10,25.50
276,7.80,8.25,,,,7.25,7.75,9.50,9.60,N1,02,,24.50,,,23.30,25.70,
277,7.60,7.50,,,,7.25,8,8.25,8.80,N1,02,,23.50,,,22.80,23.90,
278,7,7.75,,,,7,8,8,9.40,N1,02,,23.00,,,22.80,24.20,
279,8.20,6.50,8,7.25,7.25,,,,9.60,N1,02,22.50,,23.50,22.70,,24.30,25.80
280,7.60,7.25,,,,6,8.50,7.75,9.40,N1,02,,22.30,,,21.80,24.30,
281,8.20,7,6.50,8.50,8.50,,,,9.20,N1,02,23.50,,23.20,25.20,,24.40,23.90
282,6.80,6.25,,,,4.25,6.75,8.25,7.20,N1,02,,19.30,,,17.30,20.30,
283,7.80,7.25,5.25,6,4.25,,,,9.20,N1,02,15.50,,19.10,18.10,,24.30,22.30
284,8.20,5.25,3.25,4,3.75,,,,9.40,N1,02,11.00,,15.50,16.00,,22.90,20.90
285,6.80,4.50,5.75,5.25,4.75,,,,8.40,N1,02,15.80,,17.80,16.80,,19.70,21.00
286,8.80,6.25,7.75,7.75,6.75,,,,,,02,22.30,,24.30,23.30,,,
287,8.60,6.25,,,,7.50,8,8.50,8.40,N1,02,,24.00,,,21.80,23.30,
288,8.80,6.25,6.50,6.75,7,,,,9.80,N1,02,20.30,,22.10,22.60,,24.90,25.10
289,7.80,9,,,,7.25,6.50,9.25,9.40,N1,02,,23.00,,,22.80,26.20,
290,8.20,7.25,6.75,6.75,5,,,,7.80,N1,02,18.50,,21.70,20.00,,23.30,22.80
291,8.40,8,,,,6.50,7.75,8,9.60,N1,02,,22.30,,,22.30,26.00,
292,7.20,7.75,5.50,3.75,4.50,,,,8.40,N1,02,13.80,,16.50,15.50,,23.40,21.10
293,8,7.50,8.25,7.50,5.25,,,,6.80,N1,02,21.00,,23.80,20.80,,22.30,23.10
294,7.80,7.50,,,,7.25,7,9.25,8.80,N1,02,,23.50,,,21.80,24.10,
295,6.80,7,5.50,8,4.50,,,,8.80,N1,02,18.00,,20.30,19.30,,22.60,21.10
296,9,7.75,8.25,7.50,7.75,,,,9.40,N1,02,23.50,,24.80,24.30,,26.20,26.70
297,7.60,7,6.25,5.75,4.50,,,,7.40,N1,02,16.50,,19.60,17.90,,22.00,21.30
298,9,7,,,,7.75,8,8,9.80,N1,02,,23.80,,,22.80,25.80,
299,8,7,6.75,7,5.75,,,,7.80,N1,02,19.50,,21.80,20.80,,22.80,22.60
300,8.40,6.75,5.50,7.75,6.75,,,,7.40,N1,02,20.00,,21.70,22.90,,22.60,21.30
301,8.40,8.50,,,,8.25,8.50,9,9,N1,02,,25.80,,,25.30,25.90,
302,7.80,7.75,7.75,7.75,6.25,,,,9,N1,02,21.80,,23.30,21.80,,24.60,24.60
303,8.60,8.25,,,,5.75,7,7.50,9.20,N1,02,,20.30,,,21.00,26.10,
304,8.40,7,7.50,7.75,5.75,,,,9.20,N1,02,21.00,,23.70,21.90,,24.60,25.10
305,8,7.75,5.75,6.25,5.75,,,,9,N1,02,17.80,,20.00,20.00,,24.80,22.80
306,8.20,6.25,7.25,8.50,7.25,,,,8.60,N1,02,23.00,,24.00,24.00,,23.00,24.00
307,7.40,6,5.75,5.75,6,,,,8.80,N1,02,17.50,,18.90,19.20,,22.20,22.00
308,6.80,5.75,5.25,7.50,2.75,,,,8.20,N1,02,15.50,,19.60,17.10,,20.80,20.30
309,7.80,7.25,6.50,8.25,4.25,,,,9,N1,02,19.00,,22.60,20.30,,24.10,23.30
310,8.40,7.50,8,7.25,7.75,,,,9.80,N1,02,23.00,,23.70,23.40,,25.70,26.20
311,8,8.50,,,,6.50,8,7.50,8.20,N1,02,,22.00,,,23.00,24.70,
312,8.20,6.75,8,8,6.50,,,,8.20,N1,02,22.50,,24.20,22.70,,23.20,24.40
313,8.40,7.75,,,,6,8.75,8.50,9.20,N1,02,,23.30,,,22.50,25.30,
314,6.80,8,,,,6.75,7,8.75,9.20,N1,02,,22.50,,,21.80,24.00,
315,7.60,6.83,,,,7.25,7.25,8.50,9,N1,02,,23.00,,,21.30,23.40,
316,7.60,6.75,5,5.50,6,,,,8.80,N1,02,16.50,,18.10,19.10,,23.20,21.40
317,8.20,7,,,,6.75,7,9.25,9.20,N1,02,,23.00,,,20.80,24.40,
318,8.40,4,6.75,7,5.25,,,,9.60,N1,02,19.00,,22.20,20.70,,22.00,24.80
319,6,7,5.75,5.75,5.75,,,,9.20,N1,02,17.30,,17.50,17.50,,22.20,21.00
320,8.20,7,8,8,6.50,,,,7.80,N1,02,22.50,,24.20,22.70,,23.00,24.00
321,7.40,8,7.50,6.75,4.50,,,,7.40,N1,02,18.80,,21.70,18.70,,22.80,22.30
322,9.40,6.75,7.75,8.25,6.50,,,,7.40,N1,02,22.50,,25.40,24.20,,23.50,24.50
323,8.20,6,7.75,6.25,6.75,,,,9.20,N1,02,20.80,,22.20,21.20,,23.40,25.20
324,7.80,5.50,6.75,9,5.25,,,,6.60,N1,02,21.00,,23.60,22.10,,19.90,21.20
325,7.20,6.50,6,7,5.50,,,,8.60,N1,02,18.50,,20.20,19.70,,22.30,21.80
326,7.40,6,4.25,7,7,,,,,,02,18.30,,18.70,21.40,,,
327,8.40,7.25,7,8.50,7.25,,,,6.20,N1,02,22.80,,23.90,24.20,,21.90,21.60
328,8.20,6.25,7.50,5.75,6,,,,9.40,N1,02,19.30,,21.50,20.00,,23.90,25.10
329,7.80,7.75,7.50,7.25,7,,,,8,N1,02,21.80,,22.60,22.10,,23.60,23.30
330,7.80,6.75,7.50,8.25,5.50,,,,8.80,N1,02,21.30,,23.60,21.60,,23.40,24.10
331,8,5.66,7.75,4.25,5.50,,,,9.20,N1,02,17.50,,20.00,17.80,,22.90,25.00
332,9.40,6.50,7.50,4.75,4.50,,,,9.40,N1,02,16.80,,21.70,18.70,,25.30,26.30
333,8.60,6.75,8,7.25,4,,,,9.20,N1,02,19.30,,23.90,19.90,,24.50,25.80
334,7,6,,,,6,7,7.75,8.60,N1,02,,20.80,,,19.00,21.60,
335,8,7.75,,,,7,7.25,9,9.40,N1,02,,23.30,,,22.00,25.20,
336,9.40,7,8,6.50,3.50,,,,9,N1,02,18.00,,23.90,19.40,,25.40,26.40
337,8,6.50,7.75,8,5.25,,,,8,N1,02,21.00,,23.80,21.30,,22.50,23.80
338,8.80,6.25,8.25,6,5,,,,9.20,N1,02,19.30,,23.10,19.80,,24.30,26.30
339,8.20,6.25,5.50,7.75,8,,,,8.20,N1,02,21.30,,21.50,24.00,,22.70,21.90
340,8.80,8.25,7,8.50,8.25,,,,9.40,N1,02,23.80,,24.30,25.60,,26.50,25.20
341,9.20,7,8.50,8.75,3,,,,8.60,N1,02,20.30,,26.50,21.00,,24.80,26.30
342,8.80,7.75,7.50,8,7,,,,8.60,N1,02,22.50,,24.30,23.80,,25.20,24.90
343,7.40,7,6.25,6.50,4.75,,,,7,N1,02,17.50,,20.20,18.70,,21.40,20.70
344,8.20,3.75,7.50,7.25,5,,,,6.40,N1,02,19.80,,23.00,20.50,,18.40,22.10
345,8.20,7.25,7,6,7.25,,,,8.60,N1,02,20.30,,21.20,21.50,,24.00,23.80
346,9.20,5.50,7.75,8.75,3.25,,,,4.60,N1,02,19.80,,25.70,21.20,,19.30,21.50
347,8.40,7.75,8.25,8.50,4.75,,,,8.60,N1,02,21.50,,25.20,21.70,,24.80,25.30
348,8.40,7,7,7,4,,,,9.20,N1,02,18.00,,22.40,19.40,,24.60,24.60
349,8.40,7,6,7.50,4.75,,,,9.20,N1,02,18.30,,21.90,20.70,,24.60,23.60
350,9.20,7.50,8.50,7,7,,,,8.40,N1,02,22.50,,24.70,23.20,,25.10,26.10
351,7.80,8,,,,4.75,7.75,9.50,9,N1,02,,22.00,,,20.50,24.80,
352,7.80,6.25,6.75,6.75,3.50,,,,8.60,N1,02,17.00,,21.30,18.10,,22.70,23.20
353,7.60,7.50,,,,7.25,8.25,8.50,9.40,N1,02,,24.00,,,23.00,24.50,
354,8.60,6.75,8.25,7.75,6.50,,,,7.40,N1,02,22.50,,24.60,22.90,,22.80,24.30
355,5.20,7.50,,,,7,7,8,9.40,N1,02,,22.00,,,21.50,22.10,
356,7.60,6.75,,,,7.50,8,8.25,8.80,N1,02,,23.80,,,22.30,23.20,
357,8,9,,,,7.50,7.50,9.75,8.80,N1,02,,24.80,,,24.00,25.80,
358,7.60,5.75,6.50,7.25,5.50,,,,8,N1,02,19.30,,21.40,20.40,,21.40,22.10
359,8,7,,,,4,6.50,9,8.60,N1,02,,19.50,,,17.50,23.60,
360,8.20,7,7,7.50,4.25,,,,8.60,N1,02,18.80,,22.70,20.00,,23.80,23.80
361,8.20,6.25,6.50,6.75,6,,,,7.60,N1,02,19.30,,21.50,21.00,,22.00,22.30
362,6,7,,,,4.50,5.50,8.50,8.20,N1,02,,18.50,,,17.00,21.20,
363,8.20,6.50,4.25,7.75,7.50,,,,8,N1,02,19.50,,20.20,23.50,,22.70,20.50
364,7.60,7,,,,5.75,8,7.75,9.40,N1,02,,21.50,,,20.80,24.00,
365,8.60,5,8,6.50,4.75,,,,9.60,N1,02,19.30,,23.10,19.90,,23.20,26.20
366,8.20,6.75,6.75,7,5.50,,,,9,N1,02,19.30,,22.00,20.70,,24.00,24.00
367,7.40,6.25,7.75,8,3.50,,,,6.80,N1,02,19.30,,23.20,18.90,,20.50,22.00
368,7.80,7.50,,,,8,7.50,7.50,9.80,N1,02,,23.00,,,23.00,25.10,
369,8.20,8.25,,,,5.50,7,8.25,9,N1,02,,20.80,,,20.80,25.50,
370,8,7.25,7,5.75,5.25,,,,9.60,N1,02,18.00,,20.80,19.00,,24.90,24.60
371,8,7.25,8.50,7.25,5.25,,,,8.60,N1,02,21.00,,23.80,20.50,,23.90,25.10
372,9.20,6.50,8.25,8,8,,,,9.60,N1,02,24.30,,25.50,25.20,,25.30,27.10
373,7,6.50,5.50,5,3,,,,7.60,N1,02,13.50,,17.50,15.00,,21.10,20.10
374,8.40,6.75,6.75,8.25,8.50,,,,7.60,N1,02,23.50,,23.40,25.20,,22.80,22.80
375,9,5.50,6.50,7.50,3.75,,,,8.40,N1,02,17.80,,23.00,20.30,,22.90,23.90
376,8,5,7.75,8,5.50,,,,8.60,N1,02,21.30,,23.80,21.50,,21.60,24.40
377,9,6.50,8,6.75,3.75,,,,7.60,N1,02,18.50,,23.80,19.50,,23.10,24.60
378,8,7,,,,8,8,8.75,9.60,N1,02,,24.80,,,23.00,24.60,
379,8.80,7,9,7.50,8.25,,,,9.40,N1,02,24.80,,25.30,24.60,,25.20,27.20
380,9,7,8.75,8,5.75,,,,8.20,N1,02,22.50,,25.80,22.80,,24.20,26.00
381,8.80,7,7.50,7.50,4.25,,,,9.60,N1,02,19.30,,23.80,20.60,,25.40,25.90
382,8,7.75,7.50,7.25,6.25,,,,8.80,N1,02,21.00,,22.80,21.50,,24.60,24.30
383,9,6,6,8,9,,,,8.40,N1,02,23.00,,23.00,26.00,,23.40,23.40
384,8.40,8.25,7.25,8.75,7.25,,,,8.80,N1,02,23.30,,24.40,24.40,,25.50,24.50
385,8.60,7.75,8.25,7.75,6.50,,,,9.20,N1,02,22.50,,24.60,22.90,,25.60,26.10
386,8.60,8.50,7,5,5,,,,7.80,N1,02,17.00,,20.60,18.60,,24.90,23.40
387,7.60,5,4.75,4.50,3.25,,,,8.60,N1,02,12.50,,16.90,15.40,,21.20,21.00
388,8.20,8,,,,7.50,7.75,8.75,9,N6,02,,24.00,,,23.30,25.20,
389,8.40,6,7.50,5,4.25,,,,9.40,N1,02,16.80,,20.90,17.70,,23.80,25.30
390,7.60,7,6.50,8.25,8.50,,,,6.60,N1,02,23.30,,22.40,24.40,,21.20,20.70
391,7.80,8.75,7.25,7.75,7.25,,,,7,N1,02,22.30,,22.80,22.80,,23.60,22.10
392,6.80,8.25,,,,7.75,6.75,8.50,8.40,N1,02,,23.00,,,22.80,23.50,
393,8,8.50,,,,5.75,7.75,9.50,9,N1,02,,23.00,,,22.00,25.50,
394,8.80,6.50,6,7.25,4,,,,9.40,N1,02,17.30,,22.10,20.10,,24.70,24.20
395,8.40,6.50,7.50,7.25,6.50,,,,8.60,N1,02,21.30,,23.20,22.20,,23.50,24.50
396,6.40,7.50,,,,3.50,7.25,7.50,8.40,N1,02,,18.30,,,18.30,22.30,
397,7,6.75,4,5.75,4.75,,,,9,N1,02,14.50,,16.80,17.50,,22.80,20.00
398,7.80,7.25,,,,8.75,9,8.25,9.40,N1,02,,26.00,,,25.00,24.50,
399,8.20,6.25,7,8,5.75,,,,8.80,N1,02,20.80,,23.20,22.00,,23.30,24.00
400,7.60,6.50,,,,6.75,7.25,7.50,8,N1,02,,21.50,,,20.50,22.10,
401,8.40,7,7.25,6.50,6.50,,,,9.60,N1,02,20.30,,22.20,21.40,,25.00,25.30
402,8.60,6.50,8,5.75,5.25,,,,8.80,N1,02,19.00,,22.40,19.60,,23.90,25.40
403,8.40,7.75,,,,5.75,6,9.25,9.40,N1,02,,21.00,,,19.50,25.50,
404,6.60,7,,,,7.50,8.25,9,9.80,N1,02,,24.80,,,22.80,23.40,
405,8.60,6.58,8.25,7.50,4.75,,,,9,N1,02,20.50,,24.40,20.90,,24.20,25.90
406,8.20,5.25,7.25,7.25,5.50,,,,9,N1,02,20.00,,22.70,21.00,,22.50,24.50
407,7.20,5.50,4.75,8,8.25,,,,9.40,N1,02,21.00,,20.00,23.50,,22.10,21.40
408,9,6,7.75,7.75,8.75,,,,9,N1,02,24.30,,24.50,25.50,,24.00,25.80
409,7.40,5,7.25,3.50,4.50,,,,9.40,N1,02,15.30,,18.20,15.40,,21.80,24.10
410,8.20,8,7.25,7.75,7.75,,,,9.40,N1,02,22.80,,23.20,23.70,,25.60,24.90
411,8,6.25,6.75,7,6.75,,,,8.20,N1,02,20.50,,21.80,21.80,,22.50,23.00
412,8.60,7.75,6.25,6.50,6,,,,,,02,18.80,,21.40,21.10,,,
413,8,8,,,,5.25,8,9.50,,,02,,22.80,,,21.30,,
414,7.20,8.50,8,7.75,7.25,,,,,,02,23.00,,23.00,22.20,,,
415,8.20,7.75,,,,8,8,10,8.80,N1,02,,26.00,,,23.80,24.80,
416,7.60,7,,,,4.75,6.50,7.25,8.40,N1,02,,18.50,,,18.30,23.00,
417,7.60,7,8,7.75,4.50,,,,8.80,N1,02,20.30,,23.40,19.90,,23.40,24.40
418,7.40,6.50,7,3.75,4.25,,,,8.80,N1,02,15.00,,18.20,15.40,,22.70,23.20
419,8.60,5.75,7.50,6.50,5.25,,,,7.80,N1,02,19.30,,22.60,20.40,,22.20,23.90
420,7.40,7.75,7,5.25,5.75,,,,7.80,N1,02,18.00,,19.70,18.40,,23.00,22.20
421,6.60,7.25,,,,4.75,7.50,7.25,8.20,N1,02,,19.50,,,19.50,22.00,
422,8.60,7.50,6,5.75,4.50,,,,8,N1,02,16.30,,20.40,18.90,,24.10,22.60
423,7.80,7,,,,7,8.25,8.25,8.40,N1,02,,23.50,,,22.30,23.20,
424,8.20,7.25,,,,6,7.50,9.50,8.80,N1,02,,23.00,,,20.80,24.30,
425,7.80,7.50,,,,4,7.25,9,8.60,N1,02,,20.30,,,18.80,23.90,
426,7.60,7.25,7,5,3.25,,,,9.40,N1,02,15.30,,19.60,15.90,,24.30,24.00
427,7.80,5.75,6.75,4.50,6,,,,9,N1,02,17.30,,19.10,18.30,,22.60,23.60
428,8.40,6,6.50,7.25,3,,,,8,N1,02,16.80,,22.20,18.70,,22.40,22.90
429,6.80,6.25,4.25,3.75,4.75,,,,9,N1,02,12.80,,14.80,15.30,,22.10,20.10
430,9.20,6.50,8.25,7.50,5,,,,9.40,N1,02,20.80,,25.00,21.70,,25.10,26.90
431,8,6.50,6,6.75,3.25,,,,9.20,N1,02,16.00,,20.80,18.00,,23.70,23.20
432,8,7,6.25,3,5,,,,9,N1,02,14.30,,17.30,16.00,,24.00,23.30
433,8.20,7.50,,,,7.50,8.25,10,9.60,N1,02,,25.80,,,23.30,25.30,
434,8.20,7.25,6.25,8,8.75,,,,7.60,N1,02,23.00,,22.50,25.00,,23.00,22.00
435,8,6.50,6,8.25,8.50,,,,8.40,N1,02,22.80,,22.30,24.80,,22.90,22.40
436,8.20,5.75,7,7.25,6,,,,9,N1,02,20.30,,22.50,21.50,,23.00,24.20
437,8,7.25,3.75,5.50,6.50,,,,7,N1,02,15.80,,17.30,20.00,,22.30,18.80
438,8.60,7.25,,,,6.25,7.25,8.50,9.20,N1,02,,22.00,,,20.80,25.00,
439,8,6,7,8,8,,,,8.80,N1,02,23.00,,23.00,24.00,,22.80,23.80
440,8,7.75,,,,7,6.50,8,9.20,N1,02,,21.50,,,21.30,25.00,
441,8,7.25,5.75,6.25,4.50,,,,9,N1,02,16.50,,20.00,18.80,,24.30,22.80
442,7.60,7.25,6,5,4,,,,,,02,15.00,,18.60,16.60,,,
443,8,6.50,6.75,5.75,5.25,,,,8.80,N1,02,17.80,,20.50,19.00,,23.30,23.60
444,8.60,6.25,7.75,5.50,3.25,,,,9,N1,02,16.50,,21.90,17.40,,23.90,25.40
445,8,7.75,,,,7.25,8.25,8.75,8.80,N1,02,,24.30,,,23.30,24.60,
446,7.60,6.50,7.25,7,8.50,,,,9.20,N1,02,22.80,,21.90,23.10,,23.30,24.00
447,8,6.50,6.50,7.75,4,,,,10,N1,02,18.30,,22.30,19.80,,24.50,24.50
448,7.60,5.50,8,7.50,3.50,,,,7.40,N1,02,19.00,,23.10,18.60,,20.50,23.00
449,7.40,6.75,8,6,5.50,,,,8.80,N1,02,19.50,,21.40,18.90,,23.00,24.20
450,9.40,7.25,7.75,7.50,7.25,,,,9.40,N1,02,22.50,,24.70,24.20,,26.10,26.60
451,8.40,8,7,6.25,5.75,,,,9,N1,02,19.00,,21.70,20.40,,25.40,24.40
452,8.80,7.75,7,6.25,7.25,,,,9.80,N1,02,20.50,,22.10,22.30,,26.40,25.60
453,7.80,8,6.25,6.75,4.25,,,,7.60,N1,02,17.30,,20.80,18.80,,23.40,21.70
454,7.60,7.50,,,,7.25,7,9.25,9.60,N1,02,,23.50,,,21.80,24.70,
455,7,7.58,,,,7,8,8.50,9.40,N1,02,,23.50,,,22.60,24.00,
456,8.20,7,7.50,6,5,,,,9.40,N1,02,18.50,,21.70,19.20,,24.60,25.10
457,8,7.75,5.25,8,7.75,,,,8.80,N1,02,21.00,,21.30,23.80,,24.60,22.10
458,6.40,8.25,,,,7.50,6.75,8.25,9.40,N1,02,,22.50,,,22.50,24.10,
459,8.20,8.75,8.25,6.25,5.25,,,,9.20,N1,02,19.80,,22.70,19.70,,26.20,25.70
460,8,8.25,,,,7,7.50,9.25,9,N1,02,,23.80,,,22.80,25.30,
461,8.60,7.25,,,,5.25,7,8.50,8.40,N6,02,,20.80,,,19.50,24.30,
462,7.80,6.75,7.75,6,5.50,,,,8,N1,02,19.30,,21.60,19.30,,22.60,23.60
463,8,6.25,5.25,6.50,6,,,,9,N1,02,17.80,,19.80,20.50,,23.30,22.30
464,5.20,8,,,,5.50,6.50,4.75,9,N1,02,,16.80,,,20.00,22.20,
465,7.20,7,,,,5.50,8,8.25,9,N1,02,,21.80,,,20.50,23.20,
466,6.80,5,6.25,4.75,4.75,,,,8.80,N1,02,15.80,,17.80,16.30,,20.60,21.90
467,8.20,4.50,6.75,6.25,3,,,,9.40,N1,02,16.00,,21.20,17.50,,22.10,24.40
468,7.80,7,7,5.75,6.25,,,,9,N1,02,19.00,,20.60,19.80,,23.80,23.80
469,6.80,8,,,,4.50,6.50,8,9.60,N6,02,,19.00,,,19.00,24.40,
470,8.40,6.50,8.25,6.25,4.75,,,,9.20,N1,02,19.30,,22.90,19.40,,24.10,25.90
471,8.80,6,7.50,8.50,7,,,,,,02,23.00,,24.80,24.30,,,
472,7.40,7.50,,,,6,7.75,8.75,9.60,N1,02,,22.50,,,21.30,24.50,
473,8.40,7.25,,,,7.75,8.50,9.75,9.20,N1,02,,26.00,,,23.50,24.90,
474,7.40,7.25,,,,6.25,7.75,9.50,6.80,N1,02,,23.50,,,21.30,21.50,
475,8.40,6.50,,,,7.50,8,9,6.60,N1,02,,24.50,,,22.00,21.50,
476,6.40,6.25,5,6.50,4.50,,,,5,N1,02,16.00,,17.90,17.40,,17.70,16.40
477,8,8.25,,,,8.50,7.25,9,9,N1,02,,24.80,,,24.00,25.30,
478,7.80,8.75,7.50,6.25,5,,,,9.40,N1,02,18.80,,21.60,19.10,,26.00,24.70
479,7.60,8.25,7.75,7,4.75,,,,9.20,N1,02,19.50,,22.40,19.40,,25.00,24.50
480,7.60,7.25,7.75,7.25,5,,,,9,N1,02,20.00,,22.60,19.90,,23.90,24.40
481,6.80,7.25,,,,5,6.50,8,7.60,N1,02,,19.50,,,18.80,21.70,
482,8.60,7.75,8,5.75,5,,,,8.60,N1,02,18.80,,22.40,19.40,,25.00,25.20
483,8.20,7.50,7.75,7,4,,,,9.20,N1,02,18.80,,23.00,19.20,,24.90,25.20
484,8.80,7.75,,,,6.50,8,7.75,9.60,N6,02,,22.30,,,22.30,26.20,
485,7.80,7.25,4.50,7.50,7.50,,,,8,N1,02,19.50,,19.80,22.80,,23.10,20.30
486,7.60,6.75,5.75,7.75,5.75,,,,9.40,N1,02,19.30,,21.10,21.10,,23.80,22.80
487,8.40,7.50,7.50,5.75,5.50,,,,9.20,N1,02,18.80,,21.70,19.70,,25.10,25.10
488,8.60,7.25,7,6.50,5.50,,,,8.40,N1,02,19.00,,22.10,20.60,,24.30,24.00
489,8.60,7.50,,,,4.75,6.50,6.75,9.40,N1,02,,18.00,,,18.80,25.50,
490,8.40,8.75,6.50,6.50,4,,,,8.60,N1,02,17.00,,21.40,18.90,,25.80,23.50
491,8,7.50,6.50,6,3.50,,,,9.40,N1,02,16.00,,20.50,17.50,,24.90,23.90
492,9,7,6.75,7.75,6,,,,,,02,20.50,,23.50,22.80,,,
493,8,7.50,8.75,8.25,4,,,,8.80,N1,02,21.00,,25.00,20.30,,24.30,25.60
494,7,7.50,,,,6.50,7,8.75,9,N1,02,,22.30,,,21.00,23.50,
495,7.80,7,,,,5.75,8.25,8.25,9.20,N1,02,,22.30,,,21.00,24.00,
496,7.40,7.25,5.75,6.75,5,,,,9.20,N1,02,17.50,,19.90,19.20,,23.90,22.40
497,8.60,6.75,7.50,7.75,5.25,,,,9,N1,02,20.50,,23.90,21.60,,24.40,25.10
498,7.80,8.25,,,,6,6.50,8.25,9,N1,02,,20.80,,,20.80,25.10,
499,8.80,7.75,,,,4.50,7.50,9,9.40,N1,02,,21.00,,,19.80,26.00,
500,8,8.25,6.50,7.75,5.75,,,,9.20,N1,02,20.00,,22.30,21.50,,25.50,23.70
501,8.40,6.75,8.25,7.75,5,,,,8.60,N1,02,21.00,,24.40,21.20,,23.80,25.30
502,7.60,5.75,7.25,4.75,5.25,,,,8.20,N1,02,17.30,,19.60,17.60,,21.50,23.00
503,7,4.25,7.75,8,3,,,,8.20,N1,02,18.80,,22.80,18.00,,19.50,23.00
504,8.80,6.50,,,,7.50,8.25,8.75,9,N1,02,,24.50,,,22.30,24.30,
505,8.60,6.25,7.50,6.50,4.50,,,,9,N1,02,18.50,,22.60,19.60,,23.90,25.10
506,6.40,6.50,5.25,5.25,5.50,,,,9.40,N1,02,16.00,,16.90,17.20,,22.30,21.10
507,7.60,6.75,,,,6,7.75,9,9.40,N1,02,,22.80,,,20.50,23.80,
508,9,7,7.25,7.75,5.25,,,,9.60,N1,02,20.30,,24.00,22.00,,25.60,25.90
509,7,6.25,,,,5.50,6,8,8.20,N1,02,,19.50,,,17.80,21.50,
510,7.60,4.50,6.25,8.25,5,,,,9.40,N1,02,19.50,,22.10,20.90,,21.50,23.30
511,8.40,5.75,7.25,5.50,6.25,,,,9.80,N1,02,19.00,,21.20,20.20,,24.00,25.50
512,7.60,6,5.25,6,5.75,,,,9.40,N1,02,17.00,,18.90,19.40,,23.00,22.30
513,8.20,7.25,7.50,7.25,5.75,,,,6.80,N1,02,20.50,,23.00,21.20,,22.30,22.50
514,8.20,8,5.75,8.50,8,,,,8.80,N1,02,22.30,,22.50,24.70,,25.00,22.80
515,8.40,6.75,8.50,9,7,,,,9,N1,02,24.50,,25.90,24.40,,24.20,25.90
516,8.60,7.50,8.50,8,5,,,,9.20,N1,02,21.50,,25.10,21.60,,25.30,26.30
517,8,7,,,,6.50,7.75,8.75,9.60,N1,02,,23.00,,,21.30,24.60,
518,7.60,6.50,7.50,7.75,7.75,,,,7.20,N1,02,23.00,,22.90,23.10,,21.30,22.30
519,9.20,7,7.25,7.50,4.75,,,,8.80,N1,02,19.50,,24.00,21.50,,25.00,25.30
520,7.80,8.75,,,,4.50,6.75,8.25,8.60,N1,02,,19.50,,,20.00,25.20,
521,8.80,8,,,,7,7.75,8.50,9.20,N1,02,,23.30,,,22.80,26.00,
522,7.40,7,,,,6.25,7.25,9.50,6.60,N6,02,,23.00,,,20.50,21.00,
523,8.40,7.25,,,,6.50,8.75,10,9,N1,02,,25.30,,,22.50,24.70,
524,8.40,6.25,7.25,7,5.25,,,,8,N1,02,19.50,,22.70,20.70,,22.70,23.70
525,8,7.25,6.25,7,5,,,,8.40,N1,02,18.30,,21.30,20.00,,23.70,22.70
526,6.40,7.25,,,,2.50,6.25,8.75,7.80,N1,02,,17.50,,,16.00,21.50,
527,8.20,7,8.50,8.50,8,,,,8.80,N1,02,25.00,,25.20,24.70,,24.00,25.50
528,7.60,7.50,5.25,6.75,6.75,,,,9.40,N1,02,18.80,,19.60,21.10,,24.50,22.30
529,7.60,7,6.25,8.25,6,,,,9,N1,02,20.50,,22.10,21.90,,23.60,22.90
530,7,7.25,6,7,5,,,,9.20,N1,02,18.00,,20.00,19.00,,23.50,22.20
531,8.20,6.75,8,6.75,3.25,,,,9,N1,02,18.00,,23.00,18.20,,24.00,25.20
532,8.20,6.75,8.25,7.50,5,,,,7.80,N1,02,20.80,,24.00,20.70,,22.80,24.30
533,7.60,6.25,7.25,5.25,3.50,,,,9.80,N1,02,16.00,,20.10,16.40,,23.70,24.70
534,8,7.50,7.25,4,6.25,,,,8,N1,02,17.50,,19.30,18.30,,23.50,23.30
535,8.60,8.25,7,6.50,6.50,,,,10,N1,02,20.00,,22.10,21.60,,26.90,25.60
536,7.80,8.75,,,,4.75,6.75,7.25,9,N1,02,,18.80,,,20.30,25.60,
537,8.80,7.50,,,,7.75,8.75,8.25,8.60,N1,02,,24.80,,,24.00,24.90,
538,8,7.50,7.75,8.50,6,,,,8.40,N1,02,22.30,,24.30,22.50,,23.90,24.20
539,8.40,7.25,7.50,7,5,,,,8,N1,02,19.50,,22.90,20.40,,23.70,23.90
